Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16,Ratio17,Ratio18,Ratio19,Ratio20,Ratio21,Ratio22,Ratio23,Ratio24,Ratio25,Ratio26,IssuerRating
-0.001655629,0.145454,8.25449524,0.006024096,0.549668874,6.588210588,12.44439778,10,7.6923,-0.127272727,0.283296542,3.278648975,-10.6788,0.00165558,0.18248825,4.447988851,0.007238125,0.475672594,9.452184967,17.1549331,7.858752484,5.2551,-0.344685315,0.318063883,2.744017088,-20.5039,BB
0.030565739,0.057675,2.42327741,0.003767601,0.474789998,42.98143079,98.44283627,1.58565964,33.2897,0.020447464,3.05325414,6.900372767,38.9436,0.033638928,0.055576,1.690201912,0.01231975,0.415383345,42.67300597,52.92297233,1.848489221,24.6563,0.018113382,3.304664925,4.967884989,27.75493333,BBB+
0.021734811,0.145291,2.852563112,0.024990351,0.3451527,25.42585066,11.9452732,1.931588376,47.0923,-0.008346088,0.709154739,2.666705216,-1.5876,0.020471414,0.15515425,2.893194301,0.023336919,0.369209209,26.27405486,12.73445425,2.210272765,50.15565,0.015022533,0.706381121,2.752291821,3.3557,BB+
-0.074532298,0.26566,3.936515998,0.001673799,0.245230931,12.12302714,132.1670521,0.895432705,-41.2472,-1.330336476,0.204209285,1.775028208,-45.5216,-0.015145982,0.65241675,2.904975587,0.00119938,0.233264883,25.49265839,404.2166879,1.216573931,87.65493333,-0.304799434,0.169389873,1.730127687,-10.5197,BB-
0.006514835,0.265514,2.676128737,0.050704893,0.22913217,43.56360611,5.598126953,2.04109589,39.627,0.057180851,0.244957789,1.955776173,2.8632,0.006803693,0.2798465,2.492165752,0.019897253,0.221664805,46.43282932,25.08374356,2.785357056,-9.880425,0.041861099,0.235656393,1.93408842,2.0254,BBB
0.021779924,0.211124,0.055885003,0.178626194,0.42995768,39.8259418,1.411397013,3.339584389,-43.5033,0.156378962,0.513431423,2.807020041,21.7744,0.041229666,0.38508075,-0.068884973,0.088823293,0.408757668,63.04441642,12.43829836,4.717301304,46.274925,0.263192521,0.488505246,2.723068551,35.8266,BBB+
0.019228568,0.322687,4.012801429,0.015798226,0.412956392,14.03591837,13.7075928,1.325260805,-13.0564,-0.213105727,0.277135554,4.481278851,-24.7648,0.019455482,0.36087825,3.717159801,0.017340968,0.406961016,17.43332357,14.28454782,1.166332731,6.634375,0.049879812,0.278479669,4.171515406,5.7885,BB+
0.010239288,0.075557,6.580635111,0.183196108,0.59476906,9.631529158,0.747697871,1.212099644,5.7803,0.005367465,1.078241514,20.42045455,12.47,0.014170862,0.0829085,6.014666456,0.140184618,0.593177295,10.7374766,1.215213676,1.304214608,-7.97725,0.011064535,1.127327934,29.65565212,39.3601,B+
-0.007935943,0.418138,1.966890791,0.017096536,0.241459075,24.80952133,17.96551545,1.961900282,382.4074,-0.260032103,0.177366548,1.844679315,-7.682,-0.023180985,0.265212,3.209544757,0.034973291,0.220891219,15.62630342,10.22257394,1.974057244,57.210475,-1.119247445,0.160203156,1.736196394,-32.0033,BBB-
0.041991831,0.309982,3.098269848,0.048397719,0.656168829,24.5509783,5.919295913,1.835207978,36.8693,0.115112352,0.606420771,35.64824615,392.1268,0.048108435,0.34320475,2.990931554,0.044834673,0.683736597,26.47876025,6.922024267,1.805983412,37.113925,0.140346477,0.61626957,16.57222211,392.1268,BB
0.032050648,0.201993,2.311047017,0.001821968,0.380057375,45.29395976,219.9992331,1.359135914,-1.7858,0.102308499,0.754179444,2.177256084,17.8232,0.030061913,0.19784475,2.448210409,0.032179445,0.375891735,42.17103736,61.90955417,1.365757758,1.509333333,0.110162594,0.745279431,2.134772921,18.91,BBB+
-0.004505544,0.456053,2.212359237,0.001800419,0.20094907,16.53595149,114.3911075,2.240689919,-33.0987,-0.287424875,0.090747876,1.470281327,-4.4928,0.013698308,0.67691,1.325555739,0.001146147,0.197699502,57.2906497,2103.524145,1.132669443,152.1287,0.080522486,0.190307301,1.550960182,5.2084,B
0.018643616,0.408144,3.025790463,0.008908474,0.44387747,21.55064552,33.18999639,1.164419356,21.0472,0.120602466,0.321558642,2.467524738,9.7504,0.01754359,0.416589,3.101145436,0.005591678,0.449047915,21.21888539,57.55487663,1.135570044,16.455875,0.125228455,0.318015417,2.51244475,10.1633,BB-
-0.008562788,0.220817,6.291210151,3.32E-05,0.462204685,10.19703899,4497.22313,1.339507419,-16.0612,-0.210580418,0.31207082,2.6335967,-14.7592,-0.009628785,0.23969975,6.479607664,5.90E-05,0.441072697,10.59853121,3183.760832,1.390343878,-31.41783333,-0.328016652,0.275030685,2.507635904,-20.582,BBB-
-0.012838542,0.178529,8.546579952,8.55E-05,0.452357858,7.107929435,1283.469507,1.454879097,-38.3486,-0.264836903,0.277963345,2.540587259,-18.3352,-0.009030461,0.257139,6.128846303,6.32E-05,0.426700579,11.72081208,3008.537811,1.398497807,-40.3305,-0.356132966,0.263044733,2.430556044,-21.7768,BBB-
0.023469562,0.135239,2.549022144,0.012043175,0.33397303,40.72293805,31.43429099,3.075448411,5.4938,0.04304876,0.934876239,1.99626818,8.1124,0.016898477,0.117309,3.477249898,0.012066898,0.349409827,33.26837478,23.78681573,3.057346422,2.9402,0.035691186,0.845653294,2.096484364,6.3677,BB
